Code;Nom;DCI;Marque;Categorie;Rayon;Prix Vente;Prix Achat;Rx;Quantite;Date de preremption;Emplacement
5960035;CHATEAU ROUGE LAIT;;CHATEAU ROUGE LAIT;PARAPHARMA;PARAPHARMA;250000;0;Non;0;2020-01-01;rayon
chica00001;CHICA COUSSINAIT ALLAITEMENT;;CHICA COUSSINAIT ALLAITEMENT;PARAPHARMA;PARAPHARMA;100000;70000;Non;3;2030-12-01;rayon
ANIO003;CHIPS A L'ANCIENE;;CHIPS A L'ANCIENE;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2027-03-01;rayon
chips00001;CHIPS DIPSTER;;CHIPS DIPSTER;PARAPHARMA;PARAPHARMA;30000;21000;Non;37;2026-10-01;rayon
9005623;CICA PLAST + BAUME B5;;CICA PLAST + BAUME B5;PARAPHARMA;PARAPHARMA;100000;0;Non;0;2030-01-01;rayon
bis0000001;CLASSIC MILKY;;CLASSIC MILKY;PARAPHARMA;PARAPHARMA;30000;21000;Non;11;2026-10-01;rayon
741022;CLOSE UP CINNAMON RED GEL;;CLOSE UP CINNAMON RED GEL;PARAPHARMA;PARAPHARMA;50000;0;Non;0;2020-06-01;rayon
9077000;COLGATE BAIN DE BOUCHE 500ML;;COLGATE BAIN DE BOUCHE 500ML;PARAPHARMA;PARAPHARMA;50000;23000;Non;0;2027-04-01;rayon
76616;COLGATE BROSSE 360;;COLGATE BROSSE 360;PARAPHARMA;PARAPHARMA;20000;15000;Non;3;2035-03-01;rayon
1228511;COLGATE PATE TOTAL 75ML;;COLGATE PATE TOTAL 75ML;PARAPHARMA;PARAPHARMA;25000;15000;Non;18;2029-12-01;rayon
COMP001;COMPOTE POMME LOT DE 2;;COMPOTE POMME LOT DE 2;PARAPHARMA;PARAPHARMA;30000;21000;Non;17;2028-09-01;rayon
4010;CONFY N04;;CONFY N04;PARAPHARMA;PARAPHARMA;70000;50000;Non;0;2030-03-01;rayon
20230308;CONFY N05;;CONFY N05;PARAPHARMA;PARAPHARMA;70000;50000;Non;2;2030-02-01;rayon
CORI004;CONFY N06;;CONFY N06;PARAPHARMA;PARAPHARMA;70000;50000;Non;28;2030-04-01;rayon
9307398;CONFY N07;;CONFY N07;PARAPHARMA;PARAPHARMA;70000;10000;Non;5;2030-12-01;rayon
9348;CONFY NO2;;CONFY NO2;PARAPHARMA;PARAPHARMA;70000;50000;Non;10;2030-11-01;rayon
7156;CONFY NO3;;CONFY NO3;PARAPHARMA;PARAPHARMA;70000;50000;Non;1;2030-11-01;rayon
5960073;CONFY SUPER CONFORT N5;;CONFY SUPER CONFORT N5;PARAPHARMA;PARAPHARMA;70000;0;Non;2;2041-01-01;rayon
COTONAW01;COTON HYGIENIQUE AWINA;;COTON HYGIENIQUE AWINA;PARAPHARMA;PARAPHARMA;10000;5000;Non;67;2030-12-01;rayon
654236;COTON HYGIENIQUE CONFORTA;;COTON HYGIENIQUE CONFORTA;PARAPHARMA;PARAPHARMA;12000;10000;Non;24;2030-11-01;rayon
4700107;COTON HYGIENIQUE NANA;;COTON HYGIENIQUE NANA;PARAPHARMA;PARAPHARMA;15000;10000;Non;0;2030-05-01;rayon
