Code,Nom,DCI,Marque,Categorie,Rayon,Prix Vente,Prix Achat,Rx,Quantite,Date de preremption
7402422,DEOMAISON  ARIXACA 750ML,,DEOMAISON  ARIXACA 750ML,PARAPHARMA,PARAPHARMA,14000,1000,Non,0,41424
STET004,DERMAX BEBE,,DERMAX BEBE,PARAPHARMA,PARAPHARMA,20000,0,Non,1,47484
TASS001,DERMAX SIMPLE,,DERMAX SIMPLE,PARAPHARMA,PARAPHARMA,20000,14000,Non,19,47849
SUNY001,DERMAX TAMPON,,DERMAX TAMPON,PARAPHARMA,PARAPHARMA,20000,0,Non,0,46753
6310303,DETTOL GEL DOUCHE 125ML,,DETTOL GEL DOUCHE 125ML,PARAPHARMA,PARAPHARMA,15000,15000,Non,0,46784
6109110,DETTOL GEL DOUCHE GM 550ML,,DETTOL GEL DOUCHE GM 550ML,PARAPHARMA,PARAPHARMA,50000,35500,Non,5,47058
465,DETTOL GEL DOUCHE PM 250ML,,DETTOL GEL DOUCHE PM 250ML,PARAPHARMA,PARAPHARMA,40000,22500,Non,1,47088
P211,DETTOL LIQUIDE 1L,,DETTOL LIQUIDE 1L,PARAPHARMA,PARAPHARMA,90000,12000,Non,2,46722
6353003,DETTOL SHAMPOOING,,DETTOL SHAMPOOING,PARAPHARMA,PARAPHARMA,50000,35500,Non,0,46813
2183117,DETTOL SOLUTION 550ML,,DETTOL SOLUTION 550ML,PARAPHARMA,PARAPHARMA,50000,0,Non,0,46388
1138954,DIMPLES HAIR REMOVER,,DIMPLES HAIR REMOVER,PARAPHARMA,PARAPHARMA,30000,0,Non,0,43831
231151,DIVA GAME COMPLET,,DIVA GAME COMPLET,PARAPHARMA,PARAPHARMA,110000,0,Non,0,44166
DODI001,DODIE 300ML  TASSE,,DODIE 300ML  TASSE,PARAPHARMA,PARAPHARMA,50000,0,Non,0,44958
644,DOSEUR DE LAIT,,DOSEUR DE LAIT,PARAPHARMA,PARAPHARMA,50000,35500,Non,1,47818
dos0000001,DOSEUR DE LAIT DRICA,,DOSEUR DE LAIT DRICA,PARAPHARMA,PARAPHARMA,70000,50000,Non,6,47818
DOVE005,DOVE BABY LOVE,,DOVE BABY LOVE,PARAPHARMA,PARAPHARMA,50000,20000,Non,0,46844
1112425,DOVE GEL DOUCHE,,DOVE GEL DOUCHE,PARAPHARMA,PARAPHARMA,65000,0,Non,0,44927
DOVE004,DOVE GO FRESH,,DOVE GO FRESH,PARAPHARMA,PARAPHARMA,40000,0,Non,0,45200
