Code,Nom,DCI,Marque,Categorie,Forme,Prix Vente,Prix Achat,Rx,Quantite,Peremption
PN0236,Efferalgan 500mg cp/eff,,,Autre,Comprime,0,0,Non,7,
PN0237,Efferalgan Codeïne cp/eff,,,Autre,Comprime,0,0,Non,0,
PN0238,Efferalgan Vit C cp/eff,,,Autre,Comprime,0,0,Non,4,
PN0239,Efferalgan 1g cp/eff,,,Autre,Comprime,0,0,Non,5,
PN0240,Efferalgan gel,,,Autre,Comprime,0,0,Non,0,
PN0241,Efferalgan 500mg cp/plus,,,Autre,Comprime,0,0,Non,0,
PN0242,Effercal cp,,,Autre,Comprime,0,0,Non,2,
PN0243,Etorex 90 cp,,,Autre,Comprime,0,0,Non,3,
PN0244,Etorex 120 cp,,,Autre,Comprime,0,0,Non,4,
PN0245,Esomed 40mg cp,,,Autre,Comprime,0,0,Non,1,
PN0246,Exxib cp 10g cp,,,Autre,Comprime,0,0,Non,0,
PN0247,Feldene cp,,,Autre,Comprime,0,0,Non,0,
PN0248,Fedate cp,,,Autre,Comprime,0,0,Non,2,
PN0249,Fansidar cp,,,Autre,Comprime,0,0,Non,0,
PN0250,Fertilo Forte cp,,,Autre,Comprime,0,0,Non,1,
PN0251,Flex pro Extra cp,,,Autre,Comprime,0,0,Non,0,
PN0252,Fludex LP cp,,,Autre,Comprime,0,0,Non,1,
PN0253,Fixim 200mg cp,,,Autre,Comprime,0,0,Non,1,
PN0254,Fixim 400mg cp,,,Autre,Comprime,0,0,Non,1,
PN0255,Femigeston 100mg cp,,,Autre,Comprime,0,0,Non,0,
PN0256,Femigeston 200mg cp,,,Autre,Comprime,0,0,Non,1,
PN0257,Fercefol cp,,,Autre,Comprime,0,0,Non,0,
PN0258,Ferrex Forte cp,,,Autre,Comprime,0,0,Non,1,
PN0259,Ferfoltone cp,,,Autre,Comprime,0,0,Non,14,
PN0260,Fertab 50 cp,,,Autre,Comprime,0,0,Non,1,
PN0261,Finanemie cp,,,Autre,Comprime,0,0,Non,1,
PN0262,Fezomin C cp,,,Autre,Comprime,0,0,Non,3,
PN0263,Flagyl 250mg cp B/20,,,Autre,Comprime,0,0,Non,4,
PN0264,Flagyl 500mg cp,,,Autre,Comprime,0,0,Non,0,
PN0265,Fleming 1g cp,,,Autre,Comprime,0,0,Non,2,
PN0266,Filazol cp 400g cp,,,Autre,Comprime,0,0,Non,15,
PN0267,Flatoril cp,,,Autre,Comprime,0,0,Non,1,
PN0268,Flotac 75 cp,,,Autre,Comprime,0,0,Non,1,
PN0269,Flucap cp,,,Autre,Comprime,0,0,Non,0,
PN0270,Fluna Denk 150mg cp,,,Autre,Comprime,0,0,Non,0,
PN0271,Flucazol TZ cp,,,Autre,Comprime,0,0,Non,0,
PN0272,Flucogen cp 500g cp,,,Autre,Comprime,0,0,Non,0,
PN0273,Flox oz cp,,,Autre,Comprime,0,0,Non,3,
PN0274,Flex Nor cp,,,Autre,Comprime,0,0,Non,0,
PN0275,Flucomyc cp 150 mg,,,Autre,Comprime,0,0,Non,0,
PN0276,Fluxol cp,,,Autre,Comprime,0,0,Non,2,
PN0277,Fuclo 500mg cp,,,Autre,Comprime,0,0,Non,2,
PN0278,Forcan cp 150mg,,,Autre,Comprime,0,0,Non,3,
PN0279,Fumafer cp,,,Autre,Comprime,0,0,Non,1,
PN0280,Fluvermal cp,,,Autre,Comprime,0,0,Non,4,
PN0281,Fortaline plus cp,,,Autre,Comprime,0,0,Non,0,
PN0282,Flexdol cp,,,Autre,Comprime,0,0,Non,3,
PN0283,Fizaclav 1g cp,,,Autre,Comprime,0,0,Non,1,
