Code,Nom,DCI,Marque,Categorie,Prix Vente,Prix Achat,Rx
PN0238,"Efferalgan Vit C cp/eff",,,Autre,0,0,Non
PN0239,"Efferalgan 1g cp/eff",,,Autre,0,0,Non
PN0240,"Efferalgan gel",,,Autre,0,0,Non
PN0241,"Efferalgan 500mg cp/plus",,,Autre,0,0,Non
PN0242,"Effercal cp",,,Autre,0,0,Non
PN0243,"Etorex 90 cp",,,Autre,0,0,Non
PN0244,"Etorex 120 cp",,,Autre,0,0,Non
PN0245,"Esomed 40mg cp",,,Autre,0,0,Non
PN0246,"Exxib cp 10g cp",,,Autre,0,0,Non
PN0247,"Feldene cp",,,Autre,0,0,Non
PN0248,"Fedate cp",,,Autre,0,0,Non
PN0249,"Fansidar cp",,,Autre,0,0,Non
PN0250,"Fertilo Forte cp",,,Autre,0,0,Non
PN0251,"Flex pro Extra cp",,,Autre,0,0,Non
PN0252,"Fludex LP cp",,,Autre,0,0,Non
PN0253,"Fixim 200mg cp",,,Autre,0,0,Non
PN0254,"Fixim 400mg cp",,,Autre,0,0,Non
PN0255,"Femigeston 100mg cp",,,Autre,0,0,Non
PN0256,"Femigeston 200mg cp",,,Autre,0,0,Non
PN0257,"Fercefol cp",,,Autre,0,0,Non
PN0258,"Ferrex Forte cp",,,Autre,0,0,Non
PN0259,"Ferfoltone cp",,,Autre,0,0,Non
PN0260,"Fertab 50 cp",,,Autre,0,0,Non
PN0261,"Finanemie cp",,,Autre,0,0,Non
PN0262,"Fezomin C cp",,,Autre,0,0,Non
PN0263,"Flagyl 250mg cp B/20",,,Autre,0,0,Non
PN0264,"Flagyl 500mg cp",,,Autre,0,0,Non
PN0265,"Fleming 1g cp",,,Autre,0,0,Non
PN0266,"Filazol cp 400g cp",,,Autre,0,0,Non
PN0267,"Flatoril cp",,,Autre,0,0,Non
PN0268,"Flotac 75 cp",,,Autre,0,0,Non
PN0269,"Flucap cp",,,Autre,0,0,Non
PN0270,"Fluna Denk 150mg cp",,,Autre,0,0,Non
PN0271,"Flucazol TZ cp",,,Autre,0,0,Non
PN0272,"Flucogen cp 500g cp",,,Autre,0,0,Non
PN0273,"Flox oz cp",,,Autre,0,0,Non
PN0274,"Flex Nor cp",,,Autre,0,0,Non
PN0275,"Flucomyc cp 150 mg",,,Autre,0,0,Non
PN0276,"Fluxol cp",,,Autre,0,0,Non
PN0277,"Fuclo 500mg cp",,,Autre,0,0,Non
PN0278,"Forcan cp   150mg",,,Autre,0,0,Non
PN0279,"Fumafer cp",,,Autre,0,0,Non
PN0280,"Fluvermal cp",,,Autre,0,0,Non
PN0281,"Fortaline plus cp",,,Autre,0,0,Non
PN0282,"Flexdol cp",,,Autre,0,0,Non
PN0283,"Fizaclav 1g cp",,,Autre,0,0,Non
PN0284,"Decontractyl cp",,,Autre,0,0,Non
PN0285,"Jafazot 20g",,,Autre,0,0,Non
PN0286,"Gastrozol D cp",,,Autre,0,0,Non
PN0287,"Gastrozol cp",,,Autre,0,0,Non
PN0288,"Gamalate B6 cp",,,Autre,0,0,Non
PN0289,"Generve P cp",,,Autre,0,0,Non
PN0290,"Gagnerve BT cp",,,Autre,0,0,Non
PN0291,"Gestrokit cp",,,Autre,0,0,Non
PN0292,"Gastrokit plus cp",,,Autre,0,0,Non
PN0293,"Genset cp",,,Autre,0,0,Non
PN0294,"Genes Vit cp",,,Autre,0,0,Non
PN0295,"Genes Grossesse cp",,,Autre,0,0,Non
PN0296,"Gestane cp",,,Autre,0,0,Non
PN0297,"Genes Vit mult-vitamine cp",,,Autre,0,0,Non
PN0298,"Glimeperide Denk cp",,,Autre,0,0,Non
PN0299,"Ginkor cp",,,Autre,0,0,Non
PN0300,"Guncipro Forte cp",,,Autre,0,0,Non
PN0301,"Gynopen cp",,,Autre,0,0,Non
PN0302,"Glucophage 500mg cp",,,Autre,0,0,Non
PN0303,"Glucophage 850mg cp",,,Autre,0,0,Non
PN0304,"Glucovance 500mg cp",,,Autre,0,0,Non
PN0305,"Glucovance 1000mg cp",,,Autre,0,0,Non
PN0306,"Glyferon 850mg cp",,,Autre,0,0,Non
PN0307,"Glyferon 1000mg cp",,,Autre,0,0,Non
PN0308,"Gynecline 200 cp",,,Autre,0,0,Non
PN0309,"Gynospan cp",,,Autre,0,0,Non
PN0310,"Haemup cp",,,Autre,0,0,Non
PN0311,"Helminthox 250mg cp",,,Autre,0,0,Non
PN0312,"Hemafer cp/eff",,,Autre,0,0,Non
PN0313,"Hemafer fol eff cp",,,Autre,0,0,Non
PN0314,"Hemafer ccp/crocquer",,,Autre,0,0,Non
PN0315,"Hemafer fol cp/crocquer",,,Autre,0,0,Non
PN0316,"Helicocin cp",,,Autre,0,0,Non
PN0317,"Ibumol cp",,,Autre,0,0,Non
PN0318,"Isolone 5mg cp",,,Autre,0,0,Non
PN0319,"Isolone 20mg cp",,,Autre,0,0,Non
PN0320,"Inflacam cp",,,Autre,0,0,Non
PN0321,"Ibuprofene 400mg BGR cp",,,Autre,0,0,Non
PN0322,"Imodium cp",,,Autre,0,0,Non
PN0323,"Ideos cp",,,Autre,0,0,Non
PN0324,"Imox cp",,,Autre,0,0,Non
PN0325,"Ibex cp",,,Autre,0,0,Non
PN0326,"Ibuprofene Denk 600mg cp",,,Autre,0,0,Non
PN0327,"Inercef 100 cp",,,Autre,0,0,Non
PN0328,"Intercef 200 cp",,,Autre,0,0,Non
PN0329,"Imuclav 1g cp",,,Autre,0,0,Non
PN0330,"Joint Active cp",,,Autre,0,0,Non
PN0331,"Joyclav 1g cp",,,Autre,0,0,Non
PN0332,"Jespere 50mg cp",,,Autre,0,0,Non
PN0333,"Ketoprofen GH 100mg cp",,,Autre,0,0,Non
PN0334,"Ketoprofen LP 100mg cp",,,Autre,0,0,Non
PN0335,"Kinafon cp",,,Autre,0,0,Non
PN0336,"Kilmol cp",,,Autre,0,0,Non
PN0337,"Kinal Codeïne cp",,,Autre,0,0,Non
PN0338,"Kaleorid CP 600mg cp",,,Autre,0,0,Non
PN0339,"Klipal 300mg cp",,,Autre,0,0,Non
PN0340,"Klipal 600mg cp",,,Autre,0,0,Non
PN0341,"Lansocap cp",,,Autre,0,0,Non
PN0342,"Laritem 20/120 cp",,,Autre,0,0,Non
PN0343,"Laritem 40/240 cp",,,Autre,0,0,Non
PN0344,"Laritem 80/480 cp",,,Autre,0,0,Non
PN0345,"Laroscorbine B/10 cp",,,Autre,0,0,Non
PN0346,"Laroscorbine B/30 cp",,,Autre,0,0,Non
PN0347,"Lasilix 40mg cp",,,Autre,0,0,Non
PN0348,"Lerin cp",,,Autre,0,0,Non
PN0349,"Libertex cp",,,Autre,0,0,Non
PN0350,"Lodoz 5/6.25mg cp",,,Autre,0,0,Non
PN0351,"Lodoz  10/6.25mg cp",,,Autre,0,0,Non
PN0352,"Lolip 10mg cp",,,Autre,0,0,Non
PN0353,"Lufamet DS cp",,,Autre,0,0,Non
PN0354,"Lutenyl 5mg cp",,,Autre,0,0,Non
PN0355,"Lumiter DS cp",,,Autre,0,0,Non
PN0356,"Lufanter 40mg B/12 cp",,,Autre,0,0,Non
PN0357,"Lufanter disp 20/120mg cp",,,Autre,0,0,Non
PN0358,"Lyso 6 cp",,,Autre,0,0,Non
PN0359,"Meteoxane cp",,,Autre,0,0,Non
PN0360,"Melex cp",,,Autre,0,0,Non
PN0361,"Metformine 500mg BGR cp",,,Autre,0,0,Non
PN0362,"Metformine 850mg BGR cp",,,Autre,0,0,Non
PN0363,"Metformine 1000mg BGR cp",,,Autre,0,0,Non
PN0364,"Metformine Denk 500mg cp",,,Autre,0,0,Non
PN0365,"Metformine Denk 850mg cp",,,Autre,0,0,Non
PN0366,"Metformine Denk 1000mg cp",,,Autre,0,0,Non
PN0367,"Meteospasmyl cp",,,Autre,0,0,Non
PN0368,"Macromax cp",,,Autre,0,0,Non
PN0369,"Malacure 20/120 B/6 cp",,,Autre,0,0,Non
PN0370,"Malacure 40/360 B/12 cp",,,Autre,0,0,Non
PN0371,"Malacure 40/320 B/9 cp",,,Autre,0,0,Non
PN0372,"Magnesium Marin Forte cp",,,Autre,0,0,Non
PN0373,"Migretil cp",,,Autre,0,0,Non
PN0374,"Myocalm cp",,,Autre,0,0,Non
PN0375,"Misodia cp",,,Autre,0,0,Non
PN0376,"Neurodol cp",,,Autre,0,0,Non
